epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.81689,2.57957,3.88984,1.68817,0.00484,0.98901,0.88937,0.47278,1.44445,3.07842,1.00495,0.00028,0.00028,0.00028
2,6.88323,1.61578,1.84752,1.22244,0.00484,0.98901,0.6438,0.21779,1.39035,3.21201,1.08661,0.00056086,0.00056086,0.00056086
3,8.85844,1.55462,1.54474,1.2358,0.00484,0.98901,0.13939,0.04859,1.41571,3.091,1.07813,0.00082192,0.00082192,0.00082192
4,10.7748,1.51464,1.38043,1.19706,0.00489,1,0.34244,0.1892,1.36655,3.02004,1.12599,0.00106318,0.00106318,0.00106318
5,12.6767,1.54227,1.37786,1.23951,0.65424,0.24958,0.59148,0.33101,1.42094,2.57426,1.13273,0.00128464,0.00128464,0.00128464
6,14.5796,1.53696,1.26617,1.20953,1,0.91611,0.98503,0.59218,1.34719,2.03902,1.12543,0.0014863,0.0014863,0.0014863
7,16.4792,1.45969,1.16186,1.19339,0.99234,0.98901,0.98504,0.5212,1.53709,1.59481,1.21123,0.001604,0.001604,0.001604
8,18.3689,1.48688,1.12226,1.22072,1,0.98715,0.98549,0.61092,1.3169,1.33882,1.19096,0.001538,0.001538,0.001538
9,20.2473,1.43121,1.09449,1.18674,1,0.98897,0.9896,0.57614,1.41863,1.20778,1.20082,0.001472,0.001472,0.001472
10,22.1881,1.39355,1.0209,1.16862,1,0.97675,0.98841,0.59482,1.42612,1.05826,1.20298,0.001406,0.001406,0.001406
11,24.0715,1.35845,0.98583,1.17189,0.99851,0.98901,0.98847,0.57742,1.44925,0.93704,1.21848,0.00134,0.00134,0.00134
12,26.1056,1.36914,0.91746,1.1571,0.99862,0.98901,0.99169,0.5841,1.37053,0.87849,1.15399,0.001274,0.001274,0.001274
13,27.9799,1.41385,0.92167,1.17108,0.97705,1,0.99446,0.60793,1.36513,0.84413,1.19125,0.001208,0.001208,0.001208
14,29.8635,1.35642,0.8842,1.17309,0.99693,0.97802,0.99436,0.57764,1.43482,0.83346,1.28119,0.001142,0.001142,0.001142
15,31.7357,1.41095,0.87402,1.18971,0.99545,0.97802,0.99416,0.5875,1.34534,0.81809,1.18197,0.001076,0.001076,0.001076
16,33.645,1.37448,0.85794,1.15514,0.99914,0.98901,0.99401,0.6173,1.3382,0.64789,1.13723,0.00101,0.00101,0.00101
17,35.5187,1.3619,0.81782,1.16285,0.99924,0.98901,0.99252,0.63925,1.29221,0.6574,1.14225,0.000944,0.000944,0.000944
18,37.3963,1.31008,0.77196,1.13633,0.99915,0.98901,0.99099,0.61222,1.37365,0.68226,1.20418,0.000878,0.000878,0.000878
19,39.3324,1.3476,0.79826,1.16033,0.99858,0.98901,0.99438,0.63053,1.30632,0.68957,1.16167,0.000812,0.000812,0.000812
20,41.2933,1.34952,0.79157,1.15108,0.99883,0.98901,0.99458,0.63506,1.29035,0.64393,1.1436,0.000746,0.000746,0.000746
21,48.7362,1.26426,0.85525,1.123,0.9987,0.98901,0.99438,0.62038,1.33404,0.69513,1.15407,0.00068,0.00068,0.00068
22,50.6076,1.26438,0.81444,1.13681,0.99907,0.98901,0.99468,0.63572,1.29987,0.65041,1.13793,0.000614,0.000614,0.000614
23,52.4732,1.25929,0.7738,1.1403,0.99872,0.98901,0.99489,0.63639,1.27992,0.62815,1.13247,0.000548,0.000548,0.000548
24,54.3594,1.24894,0.73672,1.12154,1,0.99896,0.995,0.63901,1.24361,0.57505,1.1069,0.000482,0.000482,0.000482
25,56.2087,1.22448,0.72285,1.10943,1,0.99893,0.995,0.64662,1.26624,0.57053,1.12307,0.000416,0.000416,0.000416
26,58.0879,1.24373,0.72023,1.12679,1,0.99889,0.995,0.62524,1.29766,0.5755,1.16097,0.00035,0.00035,0.00035
27,59.9485,1.22717,0.68794,1.12186,0.99904,0.98901,0.99489,0.6376,1.27043,0.54391,1.13347,0.000284,0.000284,0.000284
28,61.821,1.22441,0.6859,1.08676,1,0.999,0.995,0.64235,1.27899,0.5373,1.132,0.000218,0.000218,0.000218
29,63.6996,1.20895,0.66965,1.09847,1,0.99901,0.995,0.63875,1.28481,0.53075,1.1413,0.000152,0.000152,0.000152
30,65.5498,1.22815,0.66052,1.08689,1,0.99905,0.995,0.64687,1.26351,0.52177,1.12588,8.6e-05,8.6e-05,8.6e-05
